client_id,variation,first_start_time,completion_confirm_time,calendar_completion_time_sec,active_completion_time_sec
4033851,Control,2017-04-05 12:04:00+00:00,2017-04-05 12:28:52+00:00,1492,1492
6651403,Control,2017-03-31 01:46:50+00:00,2017-04-04 17:38:39+00:00,402709,729
2105948,Control,2017-04-05 13:44:36+00:00,2017-04-05 14:04:56+00:00,1220,1220
9814849,Control,2017-04-05 11:20:38+00:00,2017-04-05 11:26:58+00:00,380,380
7286739,Control,2017-04-05 18:51:34+00:00,2017-04-05 19:15:02+00:00,1408,1408
4446011,Control,2017-04-03 09:09:24+00:00,2017-04-03 09:18:05+00:00,521,521
1712929,Control,2017-04-12 13:24:04+00:00,2017-04-12 13:25:47+00:00,103,103
6584990,Control,2017-04-11 07:36:57+00:00,2017-04-11 07:40:28+00:00,211,211
3751049,Control,2017-04-14 20:35:44+00:00,2017-05-15 23:25:48+00:00,2688604,964
2818303,Control,2017-03-31 14:23:39+00:00,2017-03-31 14:32:06+00:00,507,507
9358626,Control,2017-04-28 12:27:28+00:00,2017-04-28 12:29:45+00:00,137,137
4778144,Control,2017-04-01 03:44:06+00:00,2017-04-17 18:55:56+00:00,1437110,555
6986475,Control,2017-04-12 11:13:08+00:00,2017-04-12 11:17:27+00:00,259,259
7996704,Control,2017-04-12 11:09:32+00:00,2017-04-12 11:11:44+00:00,132,132
1763518,Control,2017-04-06 17:09:59+00:00,2017-04-21 17:18:32+00:00,1296513,214
2437471,Control,2017-04-12 13:58:05+00:00,2017-04-12 14:02:22+00:00,257,257
8861901,Control,2017-03-28 17:49:56+00:00,2017-04-27 13:16:14+00:00,2575578,297
598943,Control,2017-03-15 13:48:55+00:00,2017-03-15 14:12:28+00:00,1413,1413
2565373,Control,2017-04-03 23:06:41+00:00,2017-04-03 23:18:27+00:00,706,706
6071019,Control,2017-04-06 12:49:30+00:00,2017-04-06 12:59:20+00:00,590,590
2679453,Control,2017-03-29 12:19:01+00:00,2017-03-29 12:21:26+00:00,145,145
5256566,Control,2017-03-29 14:17:34+00:00,2017-03-29 14:21:48+00:00,254,254
8870709,Control,2017-04-09 11:27:13+00:00,2017-04-09 11:51:22+00:00,1449,1449
2145511,Control,2017-04-06 14:49:24+00:00,2017-04-06 14:53:16+00:00,232,232
461846,Control,2017-04-06 06:59:58+00:00,2017-04-06 07:27:56+00:00,1678,1678
4878112,Control,2017-04-06 01:12:18+00:00,2017-04-06 01:16:59+00:00,281,281
5429577,Control,2017-04-02 10:32:44+00:00,2017-04-02 10:34:41+00:00,117,117
4577314,Control,2017-04-16 19:40:09+00:00,2017-04-16 19:48:39+00:00,510,510
1423857,Control,2017-04-10 22:40:02+00:00,2017-04-10 22:44:12+00:00,250,250
2040881,Control,2017-03-29 12:07:06+00:00,2017-03-29 12:13:40+00:00,394,394
6547909,Control,2017-04-07 22:46:32+00:00,2017-04-07 23:04:31+00:00,1079,1079
2336869,Control,2017-04-12 23:56:24+00:00,2017-04-13 00:00:55+00:00,271,271
