client_id,variation,start,step_1,step_2,step_3,confirm
555,Test,1,1,1,1,1
647,Test,1,1,1,1,1
934,Test,1,0,0,0,0
1028,Control,1,1,1,1,0
1104,Control,1,0,0,0,0
1186,Control,1,1,1,0,0
1195,Control,1,1,1,1,1
1197,Control,1,1,1,1,1
1336,Test,1,1,1,1,1
1346,Test,1,1,1,1,0
1368,Control,1,0,0,0,0
1516,Test,1,1,1,1,1
1643,Test,1,1,1,1,1
1702,Test,0,0,0,0,1
1755,Test,1,1,1,1,1
1836,Test,1,1,1,1,1
1936,Test,1,1,1,1,1
2439,Control,1,0,0,0,0
2581,Control,1,0,0,0,0
2720,Test,1,0,0,0,0
3232,Test,1,1,1,1,1
3572,Test,1,1,1,1,1
3647,Control,1,1,1,1,0
3743,Control,1,1,1,1,1
4369,Test,1,1,1,1,1
4484,Test,1,1,1,1,1
4603,Test,1,1,1,1,1
4717,Test,1,1,1,1,1
4870,Test,1,1,1,1,1
5354,Control,1,1,1,1,1
5845,Test,1,1,1,1,0
6022,Test,1,1,0,0,0
6150,Test,1,0,0,0,0
6642,Control,1,1,1,1,1
6904,Test,1,1,1,1,1
6977,Control,1,1,1,1,1
6985,Control,1,1,1,1,1
7020,Control,1,1,1,1,1
7561,Test,1,1,1,0,0
7563,Test,1,1,1,1,1
7567,Control,1,1,1,1,1
7657,Test,1,1,1,1,1
7723,Test,1,1,1,1,1
7934,Test,1,1,0,0,0
8023,Test,1,1,0,0,0
8039,Control,1,1,1,1,0
8055,Test,1,1,1,1,1
8101,Control,1,1,1,1,1
8124,Control,1,0,0,0,0
8610,Test,1,0,0,0,0
8712,Test,1,1,1,0,0
8820,Test,1,1,1,1,1
9229,Control,1,1,1,0,0
9751,Test,1,1,1,0,0
9767,Control,1,1,1,1,1
9845,Control,1,0,0,0,0
9916,Test,1,1,1,1,1
10344,Control,1,0,0,0,0
10363,Test,1,1,0,0,0
11040,Test,1,1,1,1,1
11054,Control,1,1,1,1,1
11070,Control,1,1,1,1,1
11122,Control,1,1,1,1,1
11309,Test,1,1,1,1,1
11880,Test,1,1,1,1,1
12045,Control,1,1,1,0,0
12785,Test,1,1,1,1,1
13009,Control,1,1,1,1,1
13735,Test,1,1,1,1,1
13831,Control,1,1,1,0,0
14690,Test,1,1,0,0,0
14775,Control,1,0,0,0,0
15050,Test,1,1,1,1,1
15189,Test,1,1,1,1,1
15753,Test,1,1,1,1,0
15807,Test,1,1,1,1,0
16095,Control,1,1,1,1,0
16098,Test,1,1,1,1,1
16135,Control,1,1,1,1,1
16202,Control,1,1,0,0,0
16295,Test,1,1,1,1,1
16549,Control,1,1,1,1,1
16679,Control,1,1,1,0,0
16744,Control,1,0,0,0,0
16747,Control,1,1,1,1,1
16881,Test,1,0,0,0,0
17008,Control,1,1,1,1,1
17036,Control,1,1,1,1,1
17160,Control,1,1,1,1,1
17170,Test,1,1,1,1,1
17318,Test,1,1,1,1,0
17404,Test,1,1,1,1,1
18549,Test,1,1,1,1,1
18660,Control,1,1,0,0,0
18973,Control,1,1,1,1,1
19060,Test,1,1,1,1,0
19613,Control,1,0,0,0,0
19782,Control,1,1,1,1,1
19813,Control,1,1,1,1,1
19832,Control,1,1,1,1,1
20091,Control,1,1,1,1,1
20185,Test,1,1,1,1,1
20537,Control,1,1,1,1,1
20564,Test,1,1,1,1,1
20643,Test,1,1,1,1,1
20668,Test,1,1,0,0,0
20898,Control,1,0,0,0,0
21200,Test,1,1,1,1,0
21242,Control,1,1,1,1,1
21281,Test,1,1,1,1,1
21353,Control,1,1,1,1,1
21403,Test,1,0,0,0,0
21498,Control,1,1,1,1,1
21522,Test,1,1,1,1,0
21596,Test,1,1,1,1,1
21719,Control,1,1,1,1,0
21940,Control,1,1,1,1,1
21970,Control,1,1,1,1,1
22007,Test,1,1,1,1,1
22793,Test,1,1,1,0,0
22885,Control,1,1,1,1,0
23276,Control,1,1,1,1,1
23864,Control,1,1,1,1,1
23914,Test,1,1,1,1,1
24079,Control,1,0,0,0,0
24443,Test,1,1,1,1,1
24572,Test,1,1,1,1,1
24703,Test,1,1,1,1,1
24710,Control,1,1,1,1,1
24841,Test,1,1,1,1,1
25022,Test,1,1,1,1,1
25026,Test,1,1,1,1,1
25043,Control,1,1,1,1,1
25766,Control,1,1,1,1,1
26036,Test,1,1,1,1,1
26070,Test,1,1,1,1,1
26105,Test,1,1,1,1,1
26211,Control,1,1,1,1,1
26286,Control,1,1,0,0,0
26696,Test,1,0,0,0,0
27021,Control,1,1,1,1,1
27075,Test,1,1,1,1,1
27241,Control,1,1,1,1,1
27554,Control,1,1,1,1,1
27764,Test,1,1,1,1,1
27907,Test,1,1,1,1,1
27988,Control,1,1,1,1,1
28241,Test,1,1,1,1,1
28371,Test,1,1,1,1,1
28542,Control,1,1,1,1,1
28705,Control,1,1,1,1,1
28845,Control,1,1,1,1,1
28857,Control,1,1,1,1,1
29227,Test,1,1,1,1,1
29527,Test,1,1,1,1,1
29595,Control,1,1,1,1,1
30318,Test,1,1,1,1,1
30462,Test,1,0,0,0,0
30493,Test,1,1,1,1,1
31191,Control,1,0,0,0,0
31264,Control,1,1,1,1,1
31336,Test,1,1,1,1,1
31404,Test,1,1,1,1,1
31499,Test,1,1,1,1,1
31502,Control,1,1,1,1,1
31597,Test,1,1,1,1,1
31715,Control,1,1,1,1,1
31766,Test,1,1,1,0,0
32197,Control,1,1,1,1,1
32305,Control,1,1,0,0,0
32471,Test,1,1,1,1,0
32521,Test,1,1,1,1,1
32746,Test,1,1,1,1,1
32859,Control,1,1,1,1,0
33190,Control,1,1,1,1,1
33265,Test,1,1,1,1,1
33463,Control,1,1,1,1,1
33472,Test,1,1,1,1,1
33752,Test,1,1,1,1,1
34067,Control,1,1,1,1,1
34101,Test,1,0,0,0,0
34267,Control,1,1,1,1,1
34501,Control,1,1,1,0,0
34603,Control,1,1,1,1,1
34608,Test,1,1,0,0,0
34631,Control,1,1,1,1,0
35010,Test,1,1,1,0,0
35087,Control,1,1,1,0,0
35091,Test,1,1,0,0,0
35138,Test,1,1,1,1,1
35181,Test,1,1,1,1,1
35257,Control,1,1,1,1,1
35346,Control,1,1,1,1,1
35417,Control,1,1,1,1,1
35476,Test,1,1,1,1,1
35922,Test,1,1,1,1,1
36109,Control,1,1,1,1,1
36342,Test,1,1,1,1,1
36363,Test,1,1,1,1,1
36430,Test,1,1,1,1,1
36432,Test,1,1,1,0,0
36555,Test,1,1,1,1,0
36986,Test,1,1,1,1,1
37064,Control,1,1,1,1,1
37295,Control,1,1,1,1,1
37408,Control,1,1,1,1,1
37423,Test,1,1,1,1,1
37667,Test,1,1,1,1,1
37691,Test,1,1,0,0,0
37705,Test,1,1,1,1,1
37897,Test,1,1,1,1,1
38275,Test,1,0,0,0,0
38283,Test,1,1,1,1,1
38340,Test,1,1,1,1,1
38551,Test,1,1,1,1,1
38685,Control,1,1,1,1,1
38714,Control,1,1,1,1,1
38775,Test,1,0,0,0,0
38930,Control,1,1,1,1,1
38963,Control,1,1,1,1,1
39004,Test,1,0,0,0,0
39075,Control,1,1,1,1,1
39566,Test,1,1,1,1,1
39968,Control,1,0,0,0,0
40283,Test,1,0,0,0,0
40439,Test,1,1,1,1,1
40969,Test,1,1,0,0,0
41122,Test,1,1,1,1,1
41142,Test,1,1,1,1,1
41199,Test,1,1,1,1,1
41237,Test,1,1,1,1,1
41516,Control,1,1,1,1,1
